,ID,BetwenessCentrality
0,00459419,0.0007340436241339304
1,001a63e0,7.220434654233617e-05
2,008a6e6d,0.00020392333421671946
3,00844823,0.0006587969285227623
4,00b0bb87,0.0002893202987766777
5,00528660,0.0
6,0136606c,0.0009676385446827013
7,00891164,0.0001775231679053457
8,0168069e,0.00026876495268166376
9,00242715,2.6451084871404227e-06
10,0172d6cc,0.0005076250233506708
11,002d06bb,0.0004427902786275349
12,0108f81e,0.00023007687932721929
13,017ab4d4,0.00019877993228722526
14,011d8c56,0.00037664407435573
15,019f4d0d,4.2172007969431886e-05
16,014a3e8c,0.0012471929939800047
17,01b8a2b2,0.00023035678108849735
18,01ce9e70,0.0005420392345107576
19,009a4f60,0.0
20,01ceeb0f,0.0015620084402725243
21,012ac715,1.2514419615678963e-05
22,01e9c0a6,0.0006034803488528901
23,00b159ff,0.0003437334061667758
24,016828bd,0.0005263715789512981
25,01eb744d,0.0
26,021ea92d,0.0006195865369703385
27,023937a9,0.0003200437880307277
28,008925bf,0.00015093485722627524
29,00e3f15c,2.0689791697433785e-05
30,02503ca3,0.0003022055000140312
31,01ae64cd,0.00017957312197329617
32,02728546,0.0005287083595755608
33,02895818,0.00031272269378339833
34,028d362d,0.0006470200215562865
35,02b29014,0.00037673494173103196
36,02b2937c,0.00036924399391522237
37,02c89cb6,0.00032476646882583334
38,0204d102,0.00016725782178758771
39,02c9ea40,0.00015465643724521793
40,027a5151,0.0004119019752003181
41,02ce2030,0.00012314779666855534
42,01b63256,0.0002914269938950138
43,02e4da70,5.696598195883816e-05
44,02e7fa4f,0.0005176251265785447
45,02febfdc,0.00024224502076726726
46,00823e9a,5.534740981531485e-06
47,0300e2dc,0.0006051236046649826
48,017018d1,6.739905450972273e-05
49,017917e6,0.00010631975795196852
50,032f766b,0.00026474138104138657
51,0356cf4f,8.381298031196004e-05
52,035aa51c,9.14961724255931e-05
53,0170fb91,0.00016174162089819226
54,035c1d09,0.00019651603429543166
55,03622183,0.0006968455257155516
56,000b3da6,0.0006872340788514325
57,0366fc78,0.0012754221154155645
58,0367a469,0.00024202494392670402
59,0313a347,0.0
60,036bba5f,0.0
61,02319ad7,2.7857043674907486e-06
62,0375723e,0.0005991752163619947
63,03760df0,0.000309627135543
64,03904ca0,0.0
65,039ae103,2.503678093883566e-05
66,02c15616,0.0
67,02ef8778,0.00010639284168510886
68,03a4a101,7.438439217364176e-05
69,03ac019e,3.8953614014946436e-05
70,03afb275,0.0004632285282453587
71,03bd0bf4,0.0002009608809873164
72,03c45164,0.0
73,03dc5b1f,0.00019847801202688167
74,03df04ff,0.0001622222208437221
75,00454f25,0.0001152642903994302
76,03f946ed,0.000124244857905609
77,040d8500,0.0012708813823472081
78,0420d84f,9.029507768933343e-05
79,0437c448,9.998353415852776e-06
80,043abf41,0.00027952727057011325
81,0442183b,0.0002175617918253729
82,01226327,0.0005500498041030218
83,046f30a8,0.00025402705205149363
84,0473469e,0.00025476837486373825
85,047d9cc1,0.0
86,048877f5,0.0005896332550538708
87,048a1cbc,5.698165568329461e-05
88,04965583,0.0002225530385976634
89,027f513e,0.0004919722732534521
90,04979b5a,2.0853666478267206e-05
91,04981123,4.864926048814018e-05
92,00a8d210,0.0003170334486531747
93,049c2adb,2.415641025036724e-05
94,018ce429,0.0001345573580105549
95,04ac8285,7.623093741709644e-05
96,0076ab7f,4.8303030027814614e-05
97,04b8d5c8,0.0002723679072380913
98,009633c8,0.0014859890049183431
99,04c11885,8.527011597960795e-05
100,042cac2d,0.00013349057386544862
101,04e6e152,0.0006072647098047424
102,0000acda,0.00015909368328113796
103,05099e0e,0.00023590287496685604
104,0515a4cb,1.7464791632441407e-05
105,050f6302,0.0
106,05174d9e,4.089912242872898e-05
107,05384ea1,0.00020202443734847913
108,05428bc9,0.00032357513699344625
109,05439de2,0.00012891938311494018
110,00a6485f,0.0003277901542585395
111,014662c1,1.626713512853083e-05
112,042e8a49,0.00031048358951199625
113,054bd5ec,0.0
114,0555525f,6.571081295013159e-05
115,0558e236,0.0003304303419723735
116,05652d7c,0.0003272439063292378
117,0566f8a9,0.00029075312455122967
118,02d6d2b4,0.0004017082156422476
119,05748af4,0.000131151174355347
120,057a6936,0.00037210542924373964
121,03a97c40,0.00015251871697261437
122,05856228,4.631957006528134e-05
123,059a0231,8.7708084088724e-05
124,0049d544,0.0002129473863364199
125,05ca4fcb,0.00026198876191290847
126,05cb19c5,0.001202816668885006
127,037130ca,0.0008442983873004854
128,05d548d8,0.00013361434116880113
129,06050480,4.7820151920452495e-05
130,060606ec,0.000260094800101064
131,05e19d6a,1.8548188945470343e-05
132,060a66fb,7.977663497315967e-05
133,061c9f6f,8.540443395537429e-05
134,053bb202,0.0
135,0629adab,0.0007188905011895471
136,062b01b9,0.0014127482173022779
137,06420c93,0.0013122241817378837
138,064c523e,0.0003949371682559749
139,0657888a,0.00027557356416218776
140,066272e4,9.036723438698564e-06
141,003a5c72,1.584518225413824e-05
142,066be641,0.0002158661152203162
143,067e58bc,0.00030455296002288766
144,068fa372,8.006357641566087e-05
145,043ad077,0.0004007684957271105
146,06aa77a6,0.0002364175446371852
147,02d819d2,6.419988926787776e-06
148,06b34f37,0.0002327800543710078
149,06cb3efe,0.0003914925958763686
150,06d45e81,0.00023073163651720689
151,06efa9dc,0.0
152,06f46837,0.0002593791079943639
153,06c48679,8.764571631277794e-07
154,06f81a8c,9.83419623604949e-05
155,06fdad54,0.00019219802721005954
156,07059b2e,0.00025351981273054336
157,070ec0b1,0.00012139496892282603
158,0713cf26,0.0002553222653391222
159,062fc2e6,0.0
160,07186947,0.0004549809725384497
161,0728bebe,0.0
162,07296190,0.0020256351273073626
163,044c3f57,0.0003680984464078603
164,0738014e,0.000433957418245081
165,0745b37d,0.0009736117789715331
166,074b9902,0.00010062623311811771
167,074d8166,0.00033120764151287903
168,03e91055,0.0
169,07537011,0.0002803183385253179
170,039783d3,4.436545458633404e-05
171,04a65a8f,8.518493722558883e-05
172,07666c20,4.221401721447571e-05
173,07802f7f,8.380068195051553e-05
174,0780ab75,0.00037528287653575295
175,07869028,0.0007271274060635317
