ID,Name,CountryFixed,DOB,Season,Squad,Comp,LgRank,MP,Gls,LaLiga or Prem
0076ab7f,Nemanja-Gudelj,Serbia,1991,14,7,"['1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Super League', '1. Super League', '1. Primeira Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga']","['13th', '13th', '13th', '8th', '3rd', '2nd', '2nd', '13th', '2nd', '3rd', '4th', '4th', '4th', '18th']",318,34.0,1
007b39a5,Onel-Hernandez,Cuba,1993,9,5,"['2. 2. Bundesliga', '3. 3. Liga', '2. 2. Bundesliga', '2. 2. Bundesliga', '2. Championship', '2. Championship', '1. Premier League', '2. Championship', '2. Championship', '2. Championship', '2. Championship']","['18th', '13th', '3rd', '17th', '14th', '1st', '20th', '1st', '7th', '20th', '2nd']",230,20.0,1
007faf7a,Lucas-Da-Cunha,France,2001,3,4,"['1. Ligue 1', '1. Swiss Super League', '1. Ligue 1', '1. Ligue 1']","['3rd', '6th', '5th', '17th']",54,8.0,0
00823e9a,Cesar-Falletti,Uruguay,1992,9,4,"['2. Serie B', '2. Serie B', '2. Serie B', '2. Serie B', '1. Serie A', '2. Serie B', '1. Liga MX', '2. Serie B', '2. Serie B']","['16th', '12th', '12th', '18th', '15th', '11th', '13th', '10th', '3rd']",202,30.0,0
00844823,Niklas-Moisander,Finland,1985,17,8,"['1. Veikkausliiga', '2. Eerste Divisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '2. Eerste Divisie', '1. Eredivisie', '1. Eredivisie', '1. Serie A', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Allsvenskan', '1. Allsvenskan']","['9th', '4th', '1st', '5th', '4th', '4th', '10th', '1st', '14th', '1st', '2nd', '15th', '8th', '11th', '8th', '16th', '17th', '1st', '6th']",399,14.0,0
00891164,Cedric-Hountondji,Benin,1994,11,8,"['1. Ligue 1', '1. Ligue 1', '2. Ligue 2', '2. Ligue 2', '2. Ligue 2', '2. Ligue 2', '1. MLS', '1. First League', '2. Ligue 2', '2. Ligue 2', '1. Ligue 1', '1. Ligue 1']","['12th', '9th', '19th', '8th', '9th', '16th', '7th', '3rd', '5th', '2nd', '17th', '17th']",212,5.0,0
008925bf,Fabio-Caserta,Italy,1978,10,6,"['2. Serie B', '2. Serie B', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '2. Serie B', '2. Serie B', '2. Serie B']","['12th', '2nd', '13th', '17th', '11th', '20th', '18th', '15th', '12th', '9th', '16th', '22nd']",272,31.0,0
008a6e6d,Ragnar-Klavan,Estonia,1985,17,6,"['1. Tippeligaen', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Premier League', '1. Premier League', '1. Serie A', '1. Serie A', '1. Serie A']","['2nd', '13th', '14th', '14th', '15th', '1st', '5th', '4th', '4th', '15th', '8th', '5th', '12th', '4th', '4th', '15th', '14th', '16th']",399,9.0,1
009633c8,Emir-Spahic,Bosnia and Herzegovina,1980,13,8,"['1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Ligue 1', '1. Ligue 1', '1. La Liga', '1. La Liga', '1. Premier League', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga']","['6th', '9th', '7th', '3rd', '7th', '7th', '5th', '14th', '9th', '9th', '3rd', '4th', '4th', '10th', '14th']",298,17.0,1
00963611,Konstantinos-Mavropanos,Greece,1997,7,4,"['1. Super League', '1. Super League', '1. Premier League', 'Jr. PL2 — Div. 1', '1. Premier League', 'Jr. PL2 — Div. 1', '1. Premier League', 'Jr. PL2 — Div. 1', '2. 2. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga']","['9th', '9th', '6th', '1st', '5th', '2nd', '8th', '6th', '16th', '9th', '15th', '17th']",110,8.0,1
009a4f60,Julian-Ryerson,Norway,1997,8,2,"['1. Tippeligaen', '1. Tippeligaen', '1. Eliteserien', '2. 2. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga']","['5th', '8th', '16th', '3rd', '11th', '7th', '5th', '1st']",129,6.0,0
00a6485f,Andreas-Beck,Germany,1987,17,4,"['1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Süper Lig', '1. Süper Lig', '1. Süper Lig', '1. Bundesliga', '1. Bundesliga', '1. First Division A', '1. First Division A', '1. First Division A']","['9th', '1st', '6th', '7th', '11th', '11th', '11th', '16th', '9th', '8th', '1st', '1st', '4th', '7th', '16th', '13th', '12th', '15th']",419,7.0,0
00a8d210,Przemyslaw-Frankowski,Poland,1995,12,4,"['1. Ekstraklasa', '1. Ekstraklasa', '1. Ekstraklasa', '1. Ekstraklasa', '1. Ekstraklasa', '1. Ekstraklasa', '1. Ekstraklasa', '1. Ekstraklasa', '1. MLS', '1. MLS', '1. MLS', '1. Ligue 1', '1. Ligue 1']","['8th', '8th', '5th', '3rd', '11th', '2nd', '2nd', '5th', '17th', '20th', '22nd', '7th', '4th']",291,42.0,0
