Nation,Born,id,Country Name,,
ARG,1984,https://fbref.com/en/players/1226cc4f/Pablo-Alvarez,Argentina,FALSE,0
ESP,1980,https://fbref.com/en/players/08af8dbe/Pablo-Alvarez,Spain,FALSE,0
ESP,1992,https://fbref.com/en/players/88d91621/Sergio-Alvarez,Spain,FALSE,0
ESP,1993,https://fbref.com/en/players/563f3469/Victor-Alvarez,Spain,FALSE,0
BRA,1986,https://fbref.com/en/players/c055ced6/Caio-Alves,Brazil,FALSE,0
BRA,1983,https://fbref.com/en/players/c9e99e49/Dani-Alves,Brazil,FALSE,0
BRA,1985,https://fbref.com/en/players/12421a7c/Diego-Alves,Brazil,FALSE,0
FRA,1985,https://fbref.com/en/players/ab914649/Morgan-Amalfitano,France,FALSE,0
GRE,1981,https://fbref.com/en/players/ce639756/Ioannis-Amanatidis,Greece,FALSE,0
COL,1979,https://fbref.com/en/players/ff1988a5/Luis-Amaranto-Perea,Colombia,FALSE,0
ESP,1992,https://fbref.com/en/players/d70a2141/Jordi-Amat,Spain,FALSE,0
ITA,1980,https://fbref.com/en/players/b6d4bf9d/Amauri,Italy,FALSE,0
ITA,1977,https://fbref.com/en/players/26b20735/Massimo-Ambrosini,Italy,FALSE,0
GER,1982,https://fbref.com/en/players/d04916fb/Martin-Amedick,Germany,FALSE,0
ITA,1982,https://fbref.com/en/players/54da8e59/Marco-Amelia,Italy,FALSE,0
ENG,1992,https://fbref.com/en/players/acd61628/Sammy-Ameobi,England,FALSE,0
NGA,1981,https://fbref.com/en/players/e79a368b/Shola-Ameobi,Nigeria,FALSE,0
VEN,1985,https://fbref.com/en/players/b2bbc0ec/Fernando-Amorebieta,Venezuela,FALSE,0
ALG,1984,https://fbref.com/en/players/13e8756b/Chadli-Amri,Algeria,FALSE,0
SVN,1986,https://fbref.com/en/players/f978a28b/Sinisa-Andjelkovic,Slovenia,FALSE,0
BRA,1988,https://fbref.com/en/players/ffcbeb74/Anderson,Brazil,FALSE,0
BRA,1990,https://fbref.com/en/players/13b52dec/Andre,Brazil,FALSE,0
ITA,1986,https://fbref.com/en/players/13d820de/Marco-Andreolli,Italy,FALSE,0
FRA,1989,https://fbref.com/en/players/872cd68c/Yoann-Andreu,France,FALSE,0
IRL,1980,https://fbref.com/en/players/5bca867f/Keith-Andrews,Ireland,FALSE,0
BRA,1981,https://fbref.com/en/players/69e775e8/Andrezinho,Brazil,FALSE,0
ARG,1983,https://fbref.com/en/players/609cd867/Mariano-Andujar,Argentina,FALSE,0
FRA,1979,https://fbref.com/en/players/931ed5e9/Nicolas-Anelka,France,FALSE,0
URU,1986,https://fbref.com/en/players/6be43cc9/Juan-Angel-Albin,Uruguay,FALSE,0
ESP,1989,https://fbref.com/en/players/3024e383/Jose-Angel,Spain,FALSE,0
ESP,1984,https://fbref.com/en/players/011d8c56/Miguel-Angel-Moya,Spain,FALSE,0
ESP,1986,https://fbref.com/en/players/3a935b70/Miguel-Angel-Nieto,Spain,FALSE,0
ARG,1983,https://fbref.com/en/players/f1c9c320/Marcos-Angeleri,Argentina,FALSE,0
ITA,1989,https://fbref.com/en/players/0c971997/Gabriele-Angella,Italy,FALSE,0
BRA,1981,https://fbref.com/en/players/376fa7e6/Angelo,Brazil,FALSE,0
CIV,1986,https://fbref.com/en/players/de715534/Benjamin-Angoua,Ivory Coast,FALSE,0
NGA,1988,https://fbref.com/en/players/4aed5c19/Victor-Anichebe,Nigeria,FALSE,0
FRA,1986,https://fbref.com/en/players/9b040de4/Kevin-Anin,France,FALSE,0
GHA,1986,https://fbref.com/en/players/1c524d4a/Anthony-Annan,Ghana,FALSE,0
ESP,1987,https://fbref.com/en/players/e146dbda/Xavi-Annunziata,Spain,FALSE,0
ESP,1982,https://fbref.com/en/players/72b26e8e/Ion-Ansotegi,Spain,FALSE,0
ITA,1984,https://fbref.com/en/players/43a2e16c/Mirco-Antenucci,Italy,FALSE,0
ITA,1987,https://fbref.com/en/players/40f0ed6c/Luca-Antonelli,Italy,FALSE,0
ITA,1982,https://fbref.com/en/players/09952eb7/Luca-Antonini,Italy,FALSE,0
ESP,1983,https://fbref.com/en/players/19058f02/Jose-Antonio-Reyes,Spain,FALSE,0
ITA,1969,https://fbref.com/en/players/0fa7ec78/Francesco-Antonioli,Italy,FALSE,0
GER,1987,https://fbref.com/en/players/c311243f/Dennis-Aogo,Germany,FALSE,0
ISR,1977,https://fbref.com/en/players/4d1b3701/Dudu-Aouate,Israel,FALSE,0
ESP,1984,https://fbref.com/en/players/02503ca3/Apono,Spain,FALSE,0
GHA,1980,https://fbref.com/en/players/c4fb13cc/Stephen-Appiah,Ghana,FALSE,0
ITA,1984,https://fbref.com/en/players/ad340e17/Alberto-Aquilani,Italy,FALSE,0
MAR,1987,https://fbref.com/en/players/c63f6e46/Youssef-El-Arabi,Morocco,FALSE,0
ESP,1984,https://fbref.com/en/players/81fac4d9/Manuel-Arana,Spain,FALSE,0
ESP,1979,https://fbref.com/en/players/9452d85a/Mikel-Aranburu,Spain,FALSE,0
ESP,1980,https://fbref.com/en/players/2b60c45d/Carlos-Aranda,Spain,FALSE,0
VEN,1980,https://fbref.com/en/players/49c057c9/Juan-Arango,Venezuela,FALSE,0
ESP,1979,https://fbref.com/en/players/0e9ce3e0/Daniel-Aranzubia,Spain,FALSE,0
ESP,1983,https://fbref.com/en/players/6dc73abd/Alvaro-Arbeloa,Spain,FALSE,0
ITA,1978,https://fbref.com/en/players/89f815dc/Michele-Arcari,Italy,FALSE,0
ESP,1991,https://fbref.com/en/players/40fc30d6/Ramon-Arcas,Spain,FALSE,0
ITA,1989,https://fbref.com/en/players/68b78c2a/Lorenzo-Ariaudo,Italy,FALSE,0
ESP,1984,https://fbref.com/en/players/14a6c075/Javier-Arizmendi,Spain,FALSE,0
FRA,1987,https://fbref.com/en/players/c468a6de/Romain-Armand,France,FALSE,0
FRA,1980,https://fbref.com/en/players/cfa036c3/Sylvain-Armand,France,FALSE,0
COL,1986,https://fbref.com/en/players/afabf74e/Pablo-Armero,Colombia,FALSE,0
ESP,1975,https://fbref.com/en/players/23ab8dc9/Francesc-Arnau,Spain,FALSE,0
AUT,1989,https://fbref.com/en/players/00459419/Marko-Arnautovic,Austria,FALSE,0
NOR,1980,https://fbref.com/en/players/9bf988c2/John-Arne-Riise,Norway,FALSE,0
MTQ,1980,https://fbref.com/en/players/e35dba25/Gregory-Arnolin,Martinique,FALSE,0
