Season,Squad,Comp,Country,Name,ID,Birth Year,Nation,CountryName,LgRank,MP,Gls
2019-2020,Dinamo Zagreb,1. 1. HNL,hr CRO,Josko-Gvardiol,5ad50391,1989,ESP,Spain,1st,11,1
2020-2021,Dinamo Zagreb,1. 1. HNL,hr CRO,Josko-Gvardiol,5ad50391,1989,ESP,Spain,1st,25,2
2021-2022,RB Leipzig,1. Bundesliga,de GER,Josko-Gvardiol,5ad50391,1989,ESP,Spain,4th,29,2
2022-2023,RB Leipzig,1. Bundesliga,de GER,Josko-Gvardiol,5ad50391,1989,ESP,Spain,11th,8,0
2013-2014,Go Ahead Eag,1. Eredivisie,nl NED,Ridgeciano-Haps,c8d7131c,1986,ITA,Italy,13th,10,0
2013-2014,AZ Alkmaar,1. Eredivisie,nl NED,Ridgeciano-Haps,c8d7131c,1986,ITA,Italy,8th,2,0
2014-2015,AZ Alkmaar,1. Eredivisie,nl NED,Ridgeciano-Haps,c8d7131c,1986,ITA,Italy,3rd,18,0
2015-2016,AZ Alkmaar,1. Eredivisie,nl NED,Ridgeciano-Haps,c8d7131c,1986,ITA,Italy,4th,27,3
2016-2017,AZ Alkmaar,1. Eredivisie,nl NED,Ridgeciano-Haps,c8d7131c,1986,ITA,Italy,6th,30,0
2017-2018,Feyenoord,1. Eredivisie,nl NED,Ridgeciano-Haps,c8d7131c,1986,ITA,Italy,4th,23,0
2018-2019,Feyenoord,1. Eredivisie,nl NED,Ridgeciano-Haps,c8d7131c,1986,ITA,Italy,3rd,9,0
2019-2020,Feyenoord,1. Eredivisie,nl NED,Ridgeciano-Haps,c8d7131c,1986,ITA,Italy,3rd,16,2
2020-2021,Feyenoord,1. Eredivisie,nl NED,Ridgeciano-Haps,c8d7131c,1986,ITA,Italy,5th,21,3
2021-2022,Feyenoord,1. Eredivisie,nl NED,Ridgeciano-Haps,c8d7131c,1986,ITA,Italy,3rd,1,0
2021-2022,Venezia,1. Serie A,it ITA,Ridgeciano-Haps,c8d7131c,1986,ITA,Italy,20th,25,1
2022-2023,Venezia,2. Serie B,it ITA,Ridgeciano-Haps,c8d7131c,1986,ITA,Italy,16th,7,1
2016-2017,Padideh,1. Pro League,ir IRN,Varazdat-Haroyan,be32269e,1977,ITA,Italy,11th,25,0
2017-2018,Ural,1. Premier League,ru RUS,Varazdat-Haroyan,be32269e,1977,ITA,Italy,12th,20,1
2018-2019,Ural,1. Premier League,ru RUS,Varazdat-Haroyan,be32269e,1977,ITA,Italy,10th,16,1
2019-2020,Ural,1. Premier League,ru RUS,Varazdat-Haroyan,be32269e,1977,ITA,Italy,11th,18,1
2020-2021,Ural,1. Premier League,ru RUS,Varazdat-Haroyan,be32269e,1977,ITA,Italy,12th,1,0
2020-2021,Tambov,1. Premier League,ru RUS,Varazdat-Haroyan,be32269e,1977,ITA,Italy,16th,8,0
2021-2022,Cádiz,1. La Liga,es ESP,Varazdat-Haroyan,be32269e,1977,ITA,Italy,17th,17,1
2017-2018,Sparta R'dam,1. Eredivisie,nl NED,Abdou-Harroui,65fd099c,1985,NOR,Norway,17th,1,0
2018-2019,Sparta R'dam,2. Eerste Divisie,nl NED,Abdou-Harroui,65fd099c,1985,NOR,Norway,2nd,35,4
2019-2020,Sparta R'dam,1. Eredivisie,nl NED,Abdou-Harroui,65fd099c,1985,NOR,Norway,11th,26,4
2020-2021,Sparta R'dam,1. Eredivisie,nl NED,Abdou-Harroui,65fd099c,1985,NOR,Norway,8th,32,6
2021-2022,Sparta R'dam,1. Eredivisie,nl NED,Abdou-Harroui,65fd099c,1985,NOR,Norway,14th,1,0
2021-2022,Sassuolo,1. Serie A,it ITA,Abdou-Harroui,65fd099c,1985,NOR,Norway,11th,22,0
2022-2023,Sassuolo,1. Serie A,it ITA,Abdou-Harroui,65fd099c,1985,NOR,Norway,9th,8,1
2017-2018,Bochum U17,Jr. U17 Bundesliga,de GER,Luis-Hartwig,a3f30508,1981,MAR,Morocco,15th,2,2
2018-2019,Bochum U17,Jr. U17 Bundesliga,de GER,Luis-Hartwig,a3f30508,1981,MAR,Morocco,17th,26,18
2018-2019,Bochum U19,Jr. U19 Bundesliga,de GER,Luis-Hartwig,a3f30508,1981,MAR,Morocco,17th,1,0
2019-2020,Bochum U19,Jr. U19 Bundesliga,de GER,Luis-Hartwig,a3f30508,1981,MAR,Morocco,19th,20,9
2020-2021,Bochum U19,Jr. U19 Bundesliga,de GER,Luis-Hartwig,a3f30508,1981,MAR,Morocco,5th,3,5
2020-2021,Bochum,2. 2. Bundesliga,de GER,Luis-Hartwig,a3f30508,1981,MAR,Morocco,1st,1,0
2021-2022,Bochum,1. Bundesliga,de GER,Luis-Hartwig,a3f30508,1981,MAR,Morocco,13th,1,0
2015-2016,St. Gallen,1. Swiss Super League,ch SUI,Silvan-Hefti,f8342731,1986,SUI,Switzerland,7th,23,0
2016-2017,St. Gallen,1. Swiss Super League,ch SUI,Silvan-Hefti,f8342731,1986,SUI,Switzerland,7th,33,0
2017-2018,St. Gallen,1. Swiss Super League,ch SUI,Silvan-Hefti,f8342731,1986,SUI,Switzerland,5th,30,0
2018-2019,St. Gallen,1. Swiss Super League,ch SUI,Silvan-Hefti,f8342731,1986,SUI,Switzerland,6th,35,1
2019-2020,St. Gallen,1. Swiss Super League,ch SUI,Silvan-Hefti,f8342731,1986,SUI,Switzerland,2nd,34,3
2020-2021,Young Boys,1. Swiss Super League,ch SUI,Silvan-Hefti,f8342731,1986,SUI,Switzerland,1st,30,0
2021-2022,Young Boys,1. Swiss Super League,ch SUI,Silvan-Hefti,f8342731,1986,SUI,Switzerland,3rd,17,1
2021-2022,Genoa,1. Serie A,it ITA,Silvan-Hefti,f8342731,1986,SUI,Switzerland,19th,16,0
2022-2023,Genoa,2. Serie B,it ITA,Silvan-Hefti,f8342731,1986,SUI,Switzerland,6th,7,1
2015,Vasco da Gama,1. Série A,br BRA,Henrique,f28474a4,1981,GER,Germany,18th,0,
2016,Vasco da Gama,2. Série B,br BRA,Henrique,f28474a4,1981,GER,Germany,3rd,11,0
2017,Vasco da Gama,1. Série A,br BRA,Henrique,f28474a4,1981,GER,Germany,7th,21,0
2018,Vasco da Gama,1. Série A,br BRA,Henrique,f28474a4,1981,GER,Germany,16th,24,0
2019,Vasco da Gama,1. Série A,br BRA,Henrique,f28474a4,1981,GER,Germany,12th,21,0
2020,Vasco da Gama,1. Série A,br BRA,Henrique,f28474a4,1981,GER,Germany,17th,29,0
2021-2022,Lyon,1. Ligue 1,fr FRA,Henrique,f28474a4,1981,GER,Germany,8th,18,0
2022-2023,Lyon,1. Ligue 1,fr FRA,Henrique,f28474a4,1981,GER,Germany,9th,3,0
2017,Grêmio,1. Série A,br BRA,Matheus-Henrique,a2d9f138,1982,ESP,Spain,4th,1,0
2018,Grêmio,1. Série A,br BRA,Matheus-Henrique,a2d9f138,1982,ESP,Spain,4th,12,2
2019,Grêmio,1. Série A,br BRA,Matheus-Henrique,a2d9f138,1982,ESP,Spain,4th,20,0
2020,Grêmio,1. Série A,br BRA,Matheus-Henrique,a2d9f138,1982,ESP,Spain,6th,29,2
2021,Grêmio,1. Série A,br BRA,Matheus-Henrique,a2d9f138,1982,ESP,Spain,17th,8,0
2021-2022,Sassuolo,1. Serie A,it ITA,Matheus-Henrique,a2d9f138,1982,ESP,Spain,11th,25,0
2022-2023,Sassuolo,1. Serie A,it ITA,Matheus-Henrique,a2d9f138,1982,ESP,Spain,9th,6,0
2014-2015,Walsall,3. League One,eng ENG,Rico-Henry,8a3c1dc7,1989,FRA,France,14th,9,0
2015-2016,Walsall,3. League One,eng ENG,Rico-Henry,8a3c1dc7,1989,FRA,France,3rd,35,2
2016-2017,Walsall,3. League One,eng ENG,Rico-Henry,8a3c1dc7,1989,FRA,France,14th,2,0
2016-2017,Brentford,2. Championship,eng ENG,Rico-Henry,8a3c1dc7,1989,FRA,France,10th,12,0
2017-2018,Brentford,2. Championship,eng ENG,Rico-Henry,8a3c1dc7,1989,FRA,France,9th,8,0
2018-2019,Brentford,2. Championship,eng ENG,Rico-Henry,8a3c1dc7,1989,FRA,France,11th,14,1
2019-2020,Brentford,2. Championship,eng ENG,Rico-Henry,8a3c1dc7,1989,FRA,France,3rd,46,0
2020-2021,Brentford,2. Championship,eng ENG,Rico-Henry,8a3c1dc7,1989,FRA,France,3rd,30,1
2021-2022,Brentford,1. Premier League,eng ENG,Rico-Henry,8a3c1dc7,1989,FRA,France,13th,34,3
2022-2023,Brentford,1. Premier League,eng ENG,Rico-Henry,8a3c1dc7,1989,FRA,France,11th,9,0
2017-2018,Rayo Vallecano,2. Segunda División,es ESP,Kike-Hermoso,dea912dc,1979,FRA,France,1st,0,
2019-2020,Huesca,2. Segunda División,es ESP,Kike-Hermoso,dea912dc,1979,FRA,France,1st,3,0
2021-2022,Betis,1. La Liga,es ESP,Kike-Hermoso,dea912dc,1979,FRA,France,5th,1,1
2020-2021,Rayo Vallecano,2. Segunda División,es ESP,Mario-Hernandez,90162357,1992,CMR,Cameroon,6th,13,0
2021-2022,Rayo Vallecano,1. La Liga,es ESP,Mario-Hernandez,90162357,1992,CMR,Cameroon,12th,9,1
2022-2023,Rayo Vallecano,1. La Liga,es ESP,Mario-Hernandez,90162357,1992,CMR,Cameroon,10th,0,
2016-2017,Westerlo,1. First Division A,be BEL,Daan-Heymans,6d70c771,1979,FRA,France,16th,1,0
2017-2018,Westerlo,2. First Division B,be BEL,Daan-Heymans,6d70c771,1979,FRA,France,6th,19,3
2018-2019,Lommel SK,2. First Division B,be BEL,Daan-Heymans,6d70c771,1979,FRA,France,7th,12,1
2018-2019,Waasland-Bev,1. First Division A,be BEL,Daan-Heymans,6d70c771,1979,FRA,France,10th,2,0
2019-2020,Waasland-Bev,1. First Division A,be BEL,Daan-Heymans,6d70c771,1979,FRA,France,16th,5,0
2020-2021,Waasland-Bev,1. First Division A,be BEL,Daan-Heymans,6d70c771,1979,FRA,France,17th,30,8
2021-2022,Venezia,1. Serie A,it ITA,Daan-Heymans,6d70c771,1979,FRA,France,20th,7,0
2021-2022,Charleroi,1. First Division A,be BEL,Daan-Heymans,6d70c771,1979,FRA,France,6th,10,2
2022-2023,Charleroi,1. First Division A,be BEL,Daan-Heymans,6d70c771,1979,FRA,France,10th,10,2
2019,Independiente,1. Serie A,ec ECU,Piero-Hincapie,0c7a48f8,1977,PER,Peru,5th,1,0
