Season,Squad,Comp,Country,Name,ID,Birth Year,Nation,CountryName,LgRank,MP,Gls
2020,Independiente,1. Serie A,ec ECU,Piero-Hincapie,0c7a48f8,1977,PER,Peru,3rd,2,0
2021-2022,Leverkusen,1. Bundesliga,de GER,Piero-Hincapie,0c7a48f8,1977,PER,Peru,3rd,27,1
2022-2023,Leverkusen,1. Bundesliga,de GER,Piero-Hincapie,0c7a48f8,1977,PER,Peru,15th,8,0
2018-2019,NAC Breda,1. Eredivisie,nl NED,Sydney-van-Hooijdonk,5b418e15,1982,ITA,Italy,18th,12,0
2019-2020,NAC Breda,2. Eerste Divisie,nl NED,Sydney-van-Hooijdonk,5b418e15,1982,ITA,Italy,5th,25,6
2020-2021,NAC Breda,2. Eerste Divisie,nl NED,Sydney-van-Hooijdonk,5b418e15,1982,ITA,Italy,5th,28,15
2021-2022,Bologna,1. Serie A,it ITA,Sydney-van-Hooijdonk,5b418e15,1982,ITA,Italy,13th,4,0
2021-2022,Heerenveen,1. Eredivisie,nl NED,Sydney-van-Hooijdonk,5b418e15,1982,ITA,Italy,8th,13,6
2022-2023,Heerenveen,1. Eredivisie,nl NED,Sydney-van-Hooijdonk,5b418e15,1982,ITA,Italy,8th,9,4
2015-2016,Slavia Sofia,1. A Group,bg BUL,Petko-Hristov,d8800a46,1988,ARG,Argentina,4th,0,
2016-2017,Slavia Sofia,1. First League,bg BUL,Petko-Hristov,d8800a46,1988,ARG,Argentina,11th,25,1
2017-2018,Slavia Sofia,1. First League,bg BUL,Petko-Hristov,d8800a46,1988,ARG,Argentina,9th,1,0
2017-2018,Fiorentina,1. Serie A,it ITA,Petko-Hristov,d8800a46,1988,ARG,Argentina,8th,0,
2021-2022,Spezia,1. Serie A,it ITA,Petko-Hristov,d8800a46,1988,ARG,Argentina,16th,17,1
2022-2023,Spezia,1. Serie A,it ITA,Petko-Hristov,d8800a46,1988,ARG,Argentina,14th,6,0
2014-2015,Nancy,2. Ligue 2,fr FRA,Jonathan-Iglesias,639ca1cf,1987,ITA,Italy,5th,33,0
2015-2016,Nancy,2. Ligue 2,fr FRA,Jonathan-Iglesias,639ca1cf,1987,ITA,Italy,1st,19,2
2016-2017,Clermont Foot,2. Ligue 2,fr FRA,Jonathan-Iglesias,639ca1cf,1987,ITA,Italy,14th,16,1
2017-2018,Clermont Foot,2. Ligue 2,fr FRA,Jonathan-Iglesias,639ca1cf,1987,ITA,Italy,6th,34,2
2018-2019,Clermont Foot,2. Ligue 2,fr FRA,Jonathan-Iglesias,639ca1cf,1987,ITA,Italy,10th,33,4
2019-2020,Clermont Foot,2. Ligue 2,fr FRA,Jonathan-Iglesias,639ca1cf,1987,ITA,Italy,5th,28,1
2020-2021,Clermont Foot,2. Ligue 2,fr FRA,Jonathan-Iglesias,639ca1cf,1987,ITA,Italy,2nd,36,2
2021-2022,Clermont Foot,1. Ligue 1,fr FRA,Jonathan-Iglesias,639ca1cf,1987,ITA,Italy,17th,15,0
2021-2022,Paris FC,2. Ligue 2,fr FRA,Jonathan-Iglesias,639ca1cf,1987,ITA,Italy,4th,17,1
2022-2023,Paris FC,2. Ligue 2,fr FRA,Jonathan-Iglesias,639ca1cf,1987,ITA,Italy,11th,10,1
2015-2016,Liverpool,1. Primera División,uy URU,Juan-Ignacio-Ramirez,ad513a6b,1992,GHA,Ghana,10th,9,0
2016,Liverpool,1. Primera División,uy URU,Juan-Ignacio-Ramirez,ad513a6b,1992,GHA,Ghana,5th,8,0
2017,Liverpool,1. Primera División,uy URU,Juan-Ignacio-Ramirez,ad513a6b,1992,GHA,Ghana,12th,30,12
2018,Liverpool,1. Primera División,uy URU,Juan-Ignacio-Ramirez,ad513a6b,1992,GHA,Ghana,6th,35,11
2019,Liverpool,1. Primera División,uy URU,Juan-Ignacio-Ramirez,ad513a6b,1992,GHA,Ghana,5th,32,23
2020,Liverpool,1. Primera División,uy URU,Juan-Ignacio-Ramirez,ad513a6b,1992,GHA,Ghana,2nd,30,24
2021,Liverpool,1. Primera División,uy URU,Juan-Ignacio-Ramirez,ad513a6b,1992,GHA,Ghana,7th,10,11
2021-2022,Saint-Étienne,1. Ligue 1,fr FRA,Juan-Ignacio-Ramirez,ad513a6b,1992,GHA,Ghana,18th,5,0
2022,Nacional,1. Primera División,uy URU,Juan-Ignacio-Ramirez,ad513a6b,1992,GHA,Ghana,1st,23,5
2014-2015,Met Zaporizhya,1. Premier League,ua UKR,Danylo-Ihnatenko,65bbfba3,1985,SCO,Scotland,7th,1,0
2015-2016,Met Zaporizhya,1. Premier League,ua UKR,Danylo-Ihnatenko,65bbfba3,1985,SCO,Scotland,14th,10,1
2017-2018,FC Mariupol,1. Premier League,ua UKR,Danylo-Ihnatenko,65bbfba3,1985,SCO,Scotland,5th,7,0
2018-2019,FC Mariupol,1. Premier League,ua UKR,Danylo-Ihnatenko,65bbfba3,1985,SCO,Scotland,4th,20,0
2019-2020,Ferencváros,1. NB I,hu HUN,Danylo-Ihnatenko,65bbfba3,1985,SCO,Scotland,1st,13,1
2019-2020,FC Mariupol,1. Premier League,ua UKR,Danylo-Ihnatenko,65bbfba3,1985,SCO,Scotland,8th,9,0
2020-2021,FC Mariupol,1. Premier League,ua UKR,Danylo-Ihnatenko,65bbfba3,1985,SCO,Scotland,11th,3,0
2020-2021,SK Dnipro-1,1. Premier League,ua UKR,Danylo-Ihnatenko,65bbfba3,1985,SCO,Scotland,7th,17,1
2021-2022,SK Dnipro-1,1. Premier League,ua UKR,Danylo-Ihnatenko,65bbfba3,1985,SCO,Scotland,3rd,14,3
2021-2022,Bordeaux,1. Ligue 1,fr FRA,Danylo-Ihnatenko,65bbfba3,1985,SCO,Scotland,20th,11,0
2022-2023,Bordeaux,2. Ligue 2,fr FRA,Danylo-Ihnatenko,65bbfba3,1985,SCO,Scotland,1st,10,1
2021-2022,Arminia,1. Bundesliga,de GER,Burak-Ince,683dec01,1987,ESP,Spain,17th,5,0
2022-2023,Arminia,2. 2. Bundesliga,de GER,Burak-Ince,683dec01,1987,ESP,Spain,18th,2,0
2014,Lillestrøm,1. Tippeligaen,no NOR,Bonke-Innocent,546bb36e,1984,TOG,Togo,5th,1,0
2015,Lillestrøm,1. Tippeligaen,no NOR,Bonke-Innocent,546bb36e,1984,TOG,Togo,8th,20,0
2016,Lillestrøm,1. Tippeligaen,no NOR,Bonke-Innocent,546bb36e,1984,TOG,Togo,12th,24,0
2017,Lillestrøm,1. Eliteserien,no NOR,Bonke-Innocent,546bb36e,1984,TOG,Togo,12th,9,0
2017,Malmö,1. Allsvenskan,se SWE,Bonke-Innocent,546bb36e,1984,TOG,Togo,1st,2,0
2018,Malmö,1. Allsvenskan,se SWE,Bonke-Innocent,546bb36e,1984,TOG,Togo,3rd,15,0
2019,Malmö,1. Allsvenskan,se SWE,Bonke-Innocent,546bb36e,1984,TOG,Togo,2nd,11,0
2020,Malmö,1. Allsvenskan,se SWE,Bonke-Innocent,546bb36e,1984,TOG,Togo,1st,16,0
2021,Malmö,1. Allsvenskan,se SWE,Bonke-Innocent,546bb36e,1984,TOG,Togo,1st,17,0
2021-2022,Lorient,1. Ligue 1,fr FRA,Bonke-Innocent,546bb36e,1984,TOG,Togo,16th,12,0
2022-2023,Lorient,1. Ligue 1,fr FRA,Bonke-Innocent,546bb36e,1984,TOG,Togo,2nd,9,0
2019-2020,Loko Moscow,1. Premier League,ru RUS,Nikita-Iosifov,4c2fa917,1985,BRA,Brazil,2nd,0,
2020-2021,Loko Moscow,1. Premier League,ru RUS,Nikita-Iosifov,4c2fa917,1985,BRA,Brazil,3rd,4,0
2021-2022,Villarreal,1. La Liga,es ESP,Nikita-Iosifov,4c2fa917,1985,BRA,Brazil,7th,1,0
2022-2023,Villarreal B,2. Segunda División,es ESP,Nikita-Iosifov,4c2fa917,1985,BRA,Brazil,11th,5,0
2020-2021,West Brom,Jr. PL2 — Div. 2,eng ENG,Tim-Iroegbunam,84c5ceea,1985,GER,Germany,12th,8,0
2020-2021,West Brom,1. Premier League,eng ENG,Tim-Iroegbunam,84c5ceea,1985,GER,Germany,19th,0,
2021-2022,Aston Villa,Jr. PL2 — Div. 2,eng ENG,Tim-Iroegbunam,84c5ceea,1985,GER,Germany,10th,15,1
2021-2022,Aston Villa,1. Premier League,eng ENG,Tim-Iroegbunam,84c5ceea,1985,GER,Germany,14th,3,0
2022-2023,Aston Villa,1. Premier League,eng ENG,Tim-Iroegbunam,84c5ceea,1985,GER,Germany,16th,0,
2022-2023,Aston Villa U21,Jr. PL2 — Div. 2,eng ENG,Tim-Iroegbunam,84c5ceea,1985,GER,Germany,8th,1,0
2022-2023,QPR,2. Championship,eng ENG,Tim-Iroegbunam,84c5ceea,1985,GER,Germany,3rd,6,0
2018,Júbilo Iwata,1. J1 League,jp JPN,Hiroki-Ito,204dded0,1982,BRA,Brazil,16th,1,0
2019,Grampus,1. J1 League,jp JPN,Hiroki-Ito,204dded0,1982,BRA,Brazil,13th,2,0
2020,Júbilo Iwata,2. J2 League,jp JPN,Hiroki-Ito,204dded0,1982,BRA,Brazil,6th,37,2
2021,Júbilo Iwata,2. J2 League,jp JPN,Hiroki-Ito,204dded0,1982,BRA,Brazil,1st,20,2
2021-2022,Stuttgart,1. Bundesliga,de GER,Hiroki-Ito,204dded0,1982,BRA,Brazil,15th,29,1
2022-2023,Stuttgart,1. Bundesliga,de GER,Hiroki-Ito,204dded0,1982,BRA,Brazil,17th,9,0
2015-2016,Basel,1. Swiss Super League,ch SUI,Cedric-Itten,ef233486,1984,BRA,Brazil,1st,11,1
2016-2017,Luzern,1. Swiss Super League,ch SUI,Cedric-Itten,ef233486,1984,BRA,Brazil,5th,28,3
2017-2018,Luzern,1. Swiss Super League,ch SUI,Cedric-Itten,ef233486,1984,BRA,Brazil,3rd,5,0
2017-2018,Basel,1. Swiss Super League,ch SUI,Cedric-Itten,ef233486,1984,BRA,Brazil,2nd,10,2
2017-2018,St. Gallen,1. Swiss Super League,ch SUI,Cedric-Itten,ef233486,1984,BRA,Brazil,5th,16,5
2018-2019,St. Gallen,1. Swiss Super League,ch SUI,Cedric-Itten,ef233486,1984,BRA,Brazil,6th,8,4
2019-2020,St. Gallen,1. Swiss Super League,ch SUI,Cedric-Itten,ef233486,1984,BRA,Brazil,2nd,34,19
2020-2021,Rangers,1. Premiership,sct SCO,Cedric-Itten,ef233486,1984,BRA,Brazil,1st,27,4
2021-2022,Rangers,1. Premiership,sct SCO,Cedric-Itten,ef233486,1984,BRA,Brazil,2nd,6,1
2021-2022,Greuther Fürth,1. Bundesliga,de GER,Cedric-Itten,ef233486,1984,BRA,Brazil,18th,12,2
2022-2023,Young Boys,1. Super Lg,ch SUI,Cedric-Itten,ef233486,1984,BRA,Brazil,1st,10,5
2020-2021,CD Mirandés,2. Segunda División,es ESP,Nicolas-Jackson,9c36ed83,1982,BRA,Brazil,10th,16,1
2021-2022,Villarreal,1. La Liga,es ESP,Nicolas-Jackson,9c36ed83,1982,BRA,Brazil,7th,9,0
2022-2023,Villarreal,1. La Liga,es ESP,Nicolas-Jackson,9c36ed83,1982,BRA,Brazil,9th,8,1
2014,Jeonbuk,1. K League,kr KOR,Lee-Jae-sung,34b0387f,1981,ESP,Spain,1st,26,4
2015,Jeonbuk,1. K League,kr KOR,Lee-Jae-sung,34b0387f,1981,ESP,Spain,1st,34,7
2016,Jeonbuk,1. K League,kr KOR,Lee-Jae-sung,34b0387f,1981,ESP,Spain,2nd,32,3
2017,Jeonbuk,1. K League,kr KOR,Lee-Jae-sung,34b0387f,1981,ESP,Spain,1st,28,8
2018,Jeonbuk,1. K League,kr KOR,Lee-Jae-sung,34b0387f,1981,ESP,Spain,1st,17,4
2018-2019,Holstein Kiel,2. 2. Bundesliga,de GER,Lee-Jae-sung,34b0387f,1981,ESP,Spain,6th,29,5
2019-2020,Holstein Kiel,2. 2. Bundesliga,de GER,Lee-Jae-sung,34b0387f,1981,ESP,Spain,11th,31,9
2020-2021,Holstein Kiel,2. 2. Bundesliga,de GER,Lee-Jae-sung,34b0387f,1981,ESP,Spain,3rd,33,5
2021-2022,Mainz 05,1. Bundesliga,de GER,Lee-Jae-sung,34b0387f,1981,ESP,Spain,8th,27,4
2022-2023,Mainz 05,1. Bundesliga,de GER,Lee-Jae-sung,34b0387f,1981,ESP,Spain,12th,9,1
2014-2015,RNK Split,1. 1. HNL,hr CRO,Kristijan-Jakic,a8ee54ad,1986,NED,Netherlands,7th,0,
2015-2016,RNK Split,1. 1. HNL,hr CRO,Kristijan-Jakic,a8ee54ad,1986,NED,Netherlands,6th,7,0
2016-2017,RNK Split,1. 1. HNL,hr CRO,Kristijan-Jakic,a8ee54ad,1986,NED,Netherlands,10th,24,0
2017-2018,Istra 1961,1. 1. HNL,hr CRO,Kristijan-Jakic,a8ee54ad,1986,NED,Netherlands,9th,13,0
2017-2018,Lokomotiva,1. 1. HNL,hr CRO,Kristijan-Jakic,a8ee54ad,1986,NED,Netherlands,5th,2,0
2018-2019,Lokomotiva,1. 1. HNL,hr CRO,Kristijan-Jakic,a8ee54ad,1986,NED,Netherlands,6th,25,1
2019-2020,Lokomotiva,1. 1. HNL,hr CRO,Kristijan-Jakic,a8ee54ad,1986,NED,Netherlands,2nd,27,4
2020-2021,Dinamo Zagreb,1. 1. HNL,hr CRO,Kristijan-Jakic,a8ee54ad,1986,NED,Netherlands,1st,29,1
2021-2022,Dinamo Zagreb,1. 1. HNL,hr CRO,Kristijan-Jakic,a8ee54ad,1986,NED,Netherlands,1st,5,1
2021-2022,Eint Frankfurt,1. Bundesliga,de GER,Kristijan-Jakic,a8ee54ad,1986,NED,Netherlands,11th,26,1
2022-2023,Eint Frankfurt,1. Bundesliga,de GER,Kristijan-Jakic,a8ee54ad,1986,NED,Netherlands,8th,8,1
2014-2015,RE Mouscron,1. Pro League,be BEL,Marin-Jakolis,96f4ebc0,1984,ITA,Italy,12th,2,0
2015-2016,RE Mouscron,1. Pro League,be BEL,Marin-Jakolis,96f4ebc0,1984,ITA,Italy,13th,11,0
2015-2016,Virton,2. Second Division,be BEL,Marin-Jakolis,96f4ebc0,1984,ITA,Italy,12th,9,1
2016-2017,Roeselare,2. First Division B,be BEL,Marin-Jakolis,96f4ebc0,1984,ITA,Italy,2nd,16,3
2017-2018,Admira,1. Bundesliga,at AUT,Marin-Jakolis,96f4ebc0,1984,ITA,Italy,5th,28,5
2018-2019,Admira,1. Bundesliga,at AUT,Marin-Jakolis,96f4ebc0,1984,ITA,Italy,10th,23,1
2019-2020,Hajduk Split,1. 1. HNL,hr CRO,Marin-Jakolis,96f4ebc0,1984,ITA,Italy,5th,16,1
2020-2021,Hajduk Split,1. 1. HNL,hr CRO,Marin-Jakolis,96f4ebc0,1984,ITA,Italy,4th,28,1
2021-2022,Šibenik,1. 1. HNL,hr CRO,Marin-Jakolis,96f4ebc0,1984,ITA,Italy,8th,19,10
2021-2022,Angers,1. Ligue 1,fr FRA,Marin-Jakolis,96f4ebc0,1984,ITA,Italy,14th,10,0
2022-2023,Angers,1. Ligue 1,fr FRA,Marin-Jakolis,96f4ebc0,1984,ITA,Italy,17th,1,0
2020-2021,Tondela,1. Primeira Liga,pt POR,Abdel-Jalil-Medioub,4937a9f7,1986,ENG,England,12th,16,0
2021-2022,Bordeaux,1. Ligue 1,fr FRA,Abdel-Jalil-Medioub,4937a9f7,1986,ENG,England,20th,10,0
2016-2017,Bochum U19,Jr. U19 Bundesliga,de GER,Vitaly-Janelt,8449d35e,1984,DEN,Denmark,6th,8,1
2016-2017,Leipzig U19,Jr. U19 Bundesliga,de GER,Vitaly-Janelt,8449d35e,1984,DEN,Denmark,11th,1,0
2016-2017,Bochum,2. 2. Bundesliga,de GER,Vitaly-Janelt,8449d35e,1984,DEN,Denmark,9th,7,0
2017-2018,Bochum,2. 2. Bundesliga,de GER,Vitaly-Janelt,8449d35e,1984,DEN,Denmark,6th,13,0
2018-2019,Bochum,2. 2. Bundesliga,de GER,Vitaly-Janelt,8449d35e,1984,DEN,Denmark,11th,9,1
2019-2020,Bochum,2. 2. Bundesliga,de GER,Vitaly-Janelt,8449d35e,1984,DEN,Denmark,8th,24,1
2020-2021,Bochum,2. 2. Bundesliga,de GER,Vitaly-Janelt,8449d35e,1984,DEN,Denmark,1st,0,
2020-2021,Brentford,2. Championship,eng ENG,Vitaly-Janelt,8449d35e,1984,DEN,Denmark,3rd,41,3
2021-2022,Brentford,1. Premier League,eng ENG,Vitaly-Janelt,8449d35e,1984,DEN,Denmark,13th,31,4
2022-2023,Brentford,1. Premier League,eng ENG,Vitaly-Janelt,8449d35e,1984,DEN,Denmark,11th,9,1
2017-2018,Fulham,Jr. PL2 — Div. 2,eng ENG,Moritz-Jenz,ee644761,1975,ESP,Spain,8th,15,0
2018-2019,Fulham,Jr. PL2 — Div. 2,eng ENG,Moritz-Jenz,ee644761,1975,ESP,Spain,10th,19,2
2019-2020,Fulham,Jr. PL2 — Div. 2,eng ENG,Moritz-Jenz,ee644761,1975,ESP,Spain,10th,6,0
2020-2021,Lausanne-Sport,1. Swiss Super League,ch SUI,Moritz-Jenz,ee644761,1975,ESP,Spain,6th,30,1
2021-2022,Lausanne-Sport,1. Swiss Super League,ch SUI,Moritz-Jenz,ee644761,1975,ESP,Spain,10th,2,0
