30f729b3,Spain,1989
1c529186,Italy,1986
322421c2,Italy,1977
7b068bd2,Norway,1985
fc6a1641,Morocco,1981
8d425d84,Switzerland,1986
b0157081,Germany,1981
e35b4a15,Spain,1982
d5246edc,France,1989
016828bd,France,1979
8637e09a,Cameroon,1992
94ae30a8,France,1979
39168d69,Peru,1977
f858882a,Italy,1982
2a3af4d5,Argentina,1988
d2b115ae,Italy,1987
d7403bd5,Ghana,1992
aff418dc,Scotland,1985
65d62814,Spain,1987
936d9e3e,Togo,1984
d1b3afca,Brazil,1985
f71890f5,Germany,1985
e9350581,Brazil,1982
9d8586c4,Brazil,1984
4ec73d8a,Brazil,1982
293211e1,Spain,1981
9a8c6673,Netherlands,1986
0eda0ab8,Italy,1984
db80f5f1,England,1986
f1ea4af0,Denmark,1984
0437c448,Spain,1975
c84c1afc,Spain,1987
9549f66d,Italy,1979
4d034881,Argentina,1988
6936b41b,Colombia,1985
fe0b8f0e,Ghana,1990
0b64b1e6,Comoros,1991
e4f090b8,Morocco,1989
a1fe3f62,Nigeria,1982
54ef5887,Ivory Coast,1981
05439de2,Austria,1992
4601e194,Spain,1989
40e34fb7,Spain,1978
def14f68,Spain,1977
5294a83f,Spain,1992
4bd414c1,Spain,1985
b827d5b3,England,1989
77e84962,Spain,1991
cee38e27,Paraguay,1982
58721835,Brazil,1982
db0cd1ae,Spain,1985
7c293728,Spain,1986
599c10fe,France,1986
a1474d8e,Romania,1991
96d9f642,Tunisia,1986
740acaf8,Portugal,1984
ce05fadf,Argentina,1980
9f6b2f8c,Spain,1977
5b37963b,Cameroon,1983
52c2dde2,Argentina,1982
80084c87,Uruguay,1979
f4290206,Spain,1990
dc001a06,Spain,1981
8db8ad1e,United States,1989
efcdb132,Turkey,1982
98e33da5,Turkey,1982
87e89eb4,Argentina,1985
41d086b6,Honduras,1980
1226cc4f,Argentina,1984
08af8dbe,Spain,1980
88d91621,Spain,1992
563f3469,Spain,1993
c055ced6,Brazil,1986
c9e99e49,Brazil,1983
12421a7c,Brazil,1985
ab914649,France,1985
ce639756,Greece,1981
ff1988a5,Colombia,1979
d70a2141,Spain,1992
b6d4bf9d,Italy,1980
26b20735,Italy,1977
d04916fb,Germany,1982
54da8e59,Italy,1982
acd61628,England,1992
e79a368b,Nigeria,1981
b2bbc0ec,Venezuela,1985
13e8756b,Algeria,1984
f978a28b,Slovenia,1986
ffcbeb74,Brazil,1988
13b52dec,Brazil,1990
13d820de,Italy,1986
872cd68c,France,1989
5bca867f,Ireland,1980
69e775e8,Brazil,1981
609cd867,Argentina,1983
931ed5e9,France,1979
6be43cc9,Uruguay,1986
3024e383,Spain,1989
011d8c56,Spain,1984
3a935b70,Spain,1986
f1c9c320,Argentina,1983
0c971997,Italy,1989
376fa7e6,Brazil,1981
de715534,Ivory Coast,1986
4aed5c19,Nigeria,1988
9b040de4,France,1986
1c524d4a,Ghana,1986
e146dbda,Spain,1987
72b26e8e,Spain,1982
43a2e16c,Italy,1984
40f0ed6c,Italy,1987
09952eb7,Italy,1982
19058f02,Spain,1983
0fa7ec78,Italy,1969
c311243f,Germany,1987
4d1b3701,Israel,1977
02503ca3,Spain,1984
c4fb13cc,Ghana,1980
ad340e17,Italy,1984
c63f6e46,Morocco,1987
81fac4d9,Spain,1984
9452d85a,Spain,1979
2b60c45d,Spain,1980
49c057c9,Venezuela,1980
0e9ce3e0,Spain,1979
6dc73abd,Spain,1983
89f815dc,Italy,1978
40fc30d6,Spain,1991
68b78c2a,Italy,1989
14a6c075,Spain,1984
c468a6de,France,1987
cfa036c3,France,1980
afabf74e,Colombia,1986
23ab8dc9,Spain,1975
00459419,Austria,1989
9bf988c2,Norway,1980
e35dba25,Martinique,1980
a060cd8e,Italy,1978
8fd1ea1f,Russia,1981
d934d1e6,Spain,1982
01ae64cd,Spain,1986
