ID,Name,CountryFixed,DOB,Season,Squad,Comp,LgRank,MP,Gls,LaLiga or Prem,Prem
0170fb91,Samba-Sow,Mali,1989,13,5,"['1. Ligue 1', '1. Ligue 1', '2. Ligue 2', '2. Ligue 2', '1. Süper Lig', '1. Süper Lig', '1. Süper Lig', '1. Süper Lig', '1. Premier League', '1. Premier League', '1. Premier League', '2. Championship', '2. Championship', '1. Ligue 1']","['11th', '19th', '12th', '12th', '7th', '16th', '15th', '15th', '8th', '12th', '6th', '7th', '17th', '7th']",261,5.0,1,1
0172d6cc,Yann-Kermorgant,France,1981,9,5,"['2. Championship', '1. Ligue 1', '3. League One', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '1. Premier League', '2. Championship', '2. Championship', '2. Championship']","['5th', '20th', '1st', '9th', '18th', '10th', '1st', '16th', '17th', '3rd', '20th']",280,80.0,1,1
01962d0d,Joe-Gelhardt,England,2002,5,4,"['2. Championship', '2. Championship', '1. Premier League', 'Jr. PL2 — Div. 2', 'Jr. PL2 — Div. 1', '1. Premier League', '1. Premier League', 'Jr. PL2 — Div. 2']","['18th', '23rd', '9th', '1st', '13th', '17th', '14th', '1st']",72,21.0,1,1
01b8a2b2,Wojciech-Szczesny,Poland,1990,14,4,"['3. League One', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A']","['9th', '4th', '3rd', '4th', '4th', '3rd', '3rd', '2nd', '1st', '1st', '1st', '4th', '4th', '8th']",373,0.0,1,1
01ce9e70,Kieffer-Moore,Wales,1992,11,10,"['2. Championship', '3. League One', '1. Tippeligaen', '5. National League', '5. National League', '5. National League', '2. Championship', '3. League One', '2. Championship', '3. League One', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '1. Premier League']","['24th', '24th', '5th', '2nd', '3rd', '17th', '16th', '4th', '22nd', '2nd', '23rd', '8th', '18th', '2nd', '8th']",293,92.0,1,1
01ceeb0f,Lorik-Cana,Albania,1983,14,6,"['1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Premier League', '1. Süper Lig', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Ligue 1']","['11th', '2nd', '9th', '5th', '2nd', '3rd', '2nd', '13th', '8th', '4th', '7th', '9th', '3rd', '14th']",349,13.0,1,1
01e5f06e,Sergio-Gomez,Spain,2000,6,6,"['Jr. U19 Bundesliga', '2. Segunda División', '1. Bundesliga', '1. Bundesliga', '2. Segunda División', '1. La Liga', '1. First Division A', '1. First Division A', '1. Premier League']","['7th', '20th', '4th', '2nd', '1st', '18th', '3rd', '9th', '2nd']",113,6.0,1,1
021ea92d,Armand-Traore,Senegal,1989,11,7,"['1. Premier League', '1. Premier League', '1. Premier League', '1. Serie A', '1. Premier League', '1. Premier League', '1. Premier League', '2. Championship', '1. Premier League', '2. Championship', '2. Championship', '2. Championship', '1. Süper Lig']","['3rd', '14th', '3rd', '7th', '3rd', '17th', '20th', '4th', '20th', '21st', '17th', '2nd', '11th']",162,4.0,1,1
027a5151,Kemy-Agustien,Curacao,1986,14,12,"['1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '1. Eredivisie', '2. Championship', '1. Eredivisie', '2. Championship', '2. Championship', '1. Premier League', '1. Premier League', '2. Championship', '2. Championship', '1. Premiership', '2. Eerste Divisie', '5. National League', '5. National League']","['10th', '17th', '6th', '11th', '2nd', '18th', '20th', '3rd', '11th', '9th', '6th', '20th', '10th', '19th', '11th', '4th']",227,10.0,1,1
02b29014,Abdoulaye-Doucoure,Mali,1993,11,4,"['1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. La Liga', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League']","['13th', '12th', '9th', '8th', '16th', '17th', '14th', '11th', '19th', '10th', '16th', '12th']",282,33.0,1,1
02c9ea40,Elliott-Bennett,England,1988,16,7,"['3. League One', '4. League Two', '4. League Two', '3. League One', '3. League One', '1. Premier League', '1. Premier League', '1. Premier League', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '3. League One', '2. Championship', '2. Championship', '2. Championship', 'Jr. PL2 — Div. 1', '3. League One', '3. League One']","['20th', '13th', '4th', '13th', '1st', '12th', '11th', '18th', '20th', '3rd', '18th', '15th', '22nd', '2nd', '15th', '11th', '15th', '4th', '18th', '9th']",476,29.0,1,1
02ce2030,Uros-Spajic,Serbia,1993,10,6,"['1. SuperLiga', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. First Division A', '1. First Division A', '1. Premier League', '1. Premier League', '1. Eredivisie', '1. Süper Lig', '1. Premier League']","['2nd', '9th', '17th', '17th', '13th', '1st', '3rd', '3rd', '3rd', '5th', '11th', '4th']",215,4.0,1,1
02d2c436,Luis-Hernandez,Spain,1989,11,4,"['2. Segunda División', '2. Segunda División', '2. Segunda División', '1. La Liga', '1. Premier League', '1. La Liga', '1. La Liga', '2. Segunda División', '2. Segunda División', '2. Segunda División', '1. La Liga', '1. La Liga']","['10th', '5th', '2nd', '17th', '12th', '11th', '20th', '3rd', '14th', '12th', '17th', '19th']",270,2.0,1,1
02d6d2b4,Matt-Jarvis,England,1986,17,6,"['2. First Division', '2. Championship', '3. League One', '3. League One', '2. Championship', '2. Championship', '1. Premier League', '1. Premier League', '1. Premier League', '2. Championship', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', 'Jr. PL2 — Div. 2', '3. League One', '5. National League', '5. National League']","['21st', '22nd', '14th', '16th', '7th', '1st', '15th', '17th', '20th', '23rd', '10th', '13th', '12th', '7th', '19th', '7th', '22nd', '10th', '20th']",403,38.0,1,1
0313a347,Ezri-Konsa,England,1997,8,3,"['2. Championship', '3. League One', '3. League One', '2. Championship', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League']","['22nd', '13th', '6th', '11th', '17th', '11th', '14th', '16th']",212,6.0,1,1
032f766b,Ali-Al-Habsi,Oman,1981,14,7,"['1. Tippeligaen', '1. Tippeligaen', '1. Tippeligaen', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '1. Pro League', '1. Pro League', 'Jr. PL2 — Div. 2']","['10th', '6th', '3rd', '16th', '16th', '15th', '18th', '5th', '23rd', '20th', '17th', '3rd', '1st', '2nd', '3rd']",322,0.0,1,1
032f894e,Renato-Sanches,Portugal,1997,8,5,"['1. Primeira Liga', '1. Bundesliga', '1. Premier League', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1']","['1st', '1st', '18th', '1st', '1st', '1st', '4th', '1st', '10th', '1st']",144,10.0,1,1
0356cf4f,Jonathan-Walters,Ireland,1983,17,9,"['1. Premier League', '4. Third Division', '3. Second Division', '4. Third Division', '3. League One', '4. League Two', '4. League Two', '4. League Two', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '2. Championship']","['17th', '13th', '12th', '2nd', '2nd', '2nd', '13th', '17th', '14th', '8th', '9th', '15th', '13th', '13th', '14th', '13th', '9th', '9th', '9th', '13th', '7th', '15th', '24th']",495,94.0,1,1
03622183,Odion-Ighalo,Nigeria,1989,17,10,"['1. Tippeligaen', '1. Tippeligaen', '1. Serie A', '1. Serie A', '2. Segunda División', '1. La Liga', '1. La Liga', '1. La Liga', '2. Championship', '1. Premier League', '1. Premier League', '1. Super League', '1. Super League', '1. Super League', '1. Premier League', '1. Premier League', '1. Pro League', '1. Pro League', '1. Pro League', '1. Pro League']","['9th', '7th', '7th', '15th', '5th', '17th', '15th', '15th', '2nd', '13th', '17th', '7th', '15th', '13th', '3rd', '2nd', '2nd', '4th', '1st', '6th']",349,145.0,1,1
