,ID,ClosenessCentrality
0,00459419,0.4059200584745044
1,001a63e0,0.36530993209470797
2,008a6e6d,0.37401043779003695
3,00844823,0.38062085483004693
4,00b0bb87,0.3898276367417249
5,00528660,0.3444009137695304
6,0136606c,0.4021740589177856
7,00891164,0.3642980432784987
8,0168069e,0.38140929782296257
9,00242715,0.32676753808782144
10,0172d6cc,0.38103438051432603
11,002d06bb,0.39923100287084823
12,0108f81e,0.3701383828003522
13,017ab4d4,0.3840545205695055
14,011d8c56,0.3986691318047747
15,019f4d0d,0.38107381078084585
16,014a3e8c,0.4190857824605331
17,01b8a2b2,0.3947587254629044
18,01ce9e70,0.3197314322101762
19,009a4f60,0.2422064437306435
20,01ceeb0f,0.4226693567266231
21,012ac715,0.3668200787409806
22,01e9c0a6,0.39998987351118276
23,00b159ff,0.3742004644325479
24,016828bd,0.415328119379767
25,01eb744d,0.3409254983549233
26,021ea92d,0.4122132165982766
27,023937a9,0.3851591643636339
28,008925bf,0.37467637691211314
29,00e3f15c,0.35808117176980786
30,02503ca3,0.3892301839637146
31,01ae64cd,0.37255367195919914
32,02728546,0.3974428547278295
33,02895818,0.38196315428697275
34,028d362d,0.41337001408550306
35,02b29014,0.3961388522462031
36,02b2937c,0.38783641605905256
37,02c89cb6,0.36760736416078904
38,0204d102,0.3599009744410383
39,02c9ea40,0.3707159380360099
40,027a5151,0.3885320500612686
41,02ce2030,0.3516526709779129
42,01b63256,0.3674973075675569
43,02e4da70,0.36138437394315054
44,02e7fa4f,0.3866351798499348
45,02febfdc,0.3655637832412473
46,00823e9a,0.33402936826891955
47,0300e2dc,0.3956493978491221
48,017018d1,0.3539510544483568
49,017917e6,0.36590886034188236
50,032f766b,0.38677731020698497
51,0356cf4f,0.37463825937033457
52,035aa51c,0.3713514617537139
53,0170fb91,0.3660179674466459
54,035c1d09,0.36945139407882654
55,03622183,0.4195154671315452
56,000b3da6,0.40565177026665605
57,0366fc78,0.39473756785086334
58,0367a469,0.3700453972246098
59,0313a347,0.3464910397516658
60,036bba5f,0.31115393075460107
61,02319ad7,0.3215601441216123
62,0375723e,0.3842348466695225
63,03760df0,0.3937036158101998
64,03904ca0,0.34978217804717937
65,039ae103,0.3488543738613778
66,02c15616,0.33575007024805836
67,02ef8778,0.3664915177628089
68,03a4a101,0.3779061799456826
69,03ac019e,0.3519719732836993
70,03afb275,0.3796985895221636
71,03bd0bf4,0.3862904406252705
72,03c45164,0.34747185983022305
73,03dc5b1f,0.3656000764934926
74,03df04ff,0.3673506679116868
75,00454f25,0.3612780114275193
76,03f946ed,0.3763612622495482
77,040d8500,0.4171157920916015
